customer_id,order_date,order_id,order_status,required_date,shipped_date,staff_name,store,id,userid,title,body,created_at
259,01/01/2016,1,4,03/01/2016,03/01/2016,Mireya,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
1212,01/01/2016,2,4,04/01/2016,03/01/2016,Marcelene,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
523,02/01/2016,3,4,05/01/2016,03/01/2016,Venita,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
175,03/01/2016,4,4,04/01/2016,05/01/2016,Genna,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
1324,03/01/2016,5,4,06/01/2016,06/01/2016,Marcelene,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
94,04/01/2016,6,4,07/01/2016,05/01/2016,Marcelene,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
324,04/01/2016,7,4,07/01/2016,05/01/2016,Marcelene,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
1204,04/01/2016,8,4,05/01/2016,05/01/2016,Venita,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
60,05/01/2016,9,4,08/01/2016,08/01/2016,Mireya,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
442,05/01/2016,10,4,06/01/2016,06/01/2016,Marcelene,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
1326,05/01/2016,11,4,08/01/2016,07/01/2016,Venita,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
91,06/01/2016,12,4,08/01/2016,09/01/2016,Mireya,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
873,08/01/2016,13,4,11/01/2016,11/01/2016,Marcelene,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
258,09/01/2016,14,4,11/01/2016,12/01/2016,Genna,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
450,09/01/2016,15,4,10/01/2016,12/01/2016,Venita,Baldwin Bikes,,,,,2025-11-03T13:43:49.581597
552,12/01/2016,16,4,15/01/2016,15/01/2016,Genna,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
1175,12/01/2016,17,4,14/01/2016,14/01/2016,Genna,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
541,14/01/2016,18,4,17/01/2016,15/01/2016,Genna,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
696,14/01/2016,19,4,17/01/2016,16/01/2016,Mireya,Santa Cruz Bikes,,,,,2025-11-03T13:43:49.581597
