2025-10-30 15:58:12 | INFO     | no-corre | etl.test             | Starting operation: test_operation
2025-10-30 15:58:12 | INFO     | no-corre | etl.test             | Test operation completed
2025-10-30 15:58:12 | INFO     | no-corre | etl.test             | Completed operation: test_operation
2025-10-30 15:58:12 | INFO     | test-cor | etl.test             | Testing with correlation ID: test-correlation-123
2025-10-30 16:14:48 | DEBUG    | no-corre | urllib3.connectionpool | Starting new HTTPS connection (1): etl-server.fly.dev:443
2025-10-30 16:14:50 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /orders HTTP/1.1" 200 None
2025-10-30 16:14:50 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /order_items HTTP/1.1" 200 None
2025-10-30 16:14:51 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /customers HTTP/1.1" 200 None
2025-10-30 16:14:51 | INFO     | no-corre | etl.api              | Data saved successfully to orders_data.csv
2025-10-30 16:14:51 | INFO     | no-corre | etl.api              | orders data processing completed successfully!
2025-10-30 16:14:51 | INFO     | no-corre | etl.api              | Data saved successfully to order_items_data.csv
2025-10-30 16:14:51 | INFO     | no-corre | etl.api              | order_items data processing completed successfully!
2025-10-30 16:14:51 | INFO     | no-corre | etl.api              | Data saved successfully to customers_data.csv
2025-10-30 16:14:51 | INFO     | no-corre | etl.api              | customers data processing completed successfully!
2025-10-30 16:17:25 | DEBUG    | no-corre | asyncio              | Using proactor: IocpProactor
2025-10-30 16:17:25 | INFO     | no-corre | etl.api              | Fetching all API data concurrently...
2025-10-30 16:17:25 | DEBUG    | no-corre | etl.api              | Created new aiohttp session with connection pooling
2025-10-30 16:17:25 | INFO     | no-corre | etl.api              | Starting operation: batch_api_requests
2025-10-30 16:17:25 | INFO     | no-corre | etl.api              | Starting batch execution of 3 API requests
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Request failed in batch: unsupported operand type(s) for /: 'float' and 'str'
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Request failed in batch: unsupported operand type(s) for /: 'float' and 'str'
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Request failed in batch: unsupported operand type(s) for /: 'float' and 'str'
2025-10-30 16:17:25 | INFO     | no-corre | etl.api              | Batch execution complete: 6 responses
2025-10-30 16:17:25 | INFO     | no-corre | etl.api              | Completed operation: batch_api_requests
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Failed to process unknown: Status 0
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Failed to process orders: Status 200
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Failed to process unknown: Status 0
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Failed to process unknown: Status 0
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Failed to process order_items: Status 200
2025-10-30 16:17:25 | ERROR    | no-corre | etl.api              | Failed to process customers: Status 200
2025-10-30 16:17:25 | INFO     | no-corre | etl.api              | Async fetch complete - Success rate: 100.0%, Avg response time: 0.26s
2025-10-30 16:17:25 | DEBUG    | no-corre | etl.api              | Closed aiohttp session
2025-10-30 16:17:25 | DEBUG    | no-corre | urllib3.connectionpool | Starting new HTTPS connection (1): etl-server.fly.dev:443
2025-10-30 16:17:25 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /orders HTTP/1.1" 200 None
2025-10-30 16:17:25 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /order_items HTTP/1.1" 200 None
2025-10-30 16:17:25 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /customers HTTP/1.1" 200 None
2025-10-30 16:25:26 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:25:26 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:25:26 | INFO     | no-corre | database.connection_manager | Connection pool closed successfully
2025-10-30 16:25:26 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:25:54 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:25:54 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:25:54 | INFO     | no-corre | database.connection_manager | Connection pool closed successfully
2025-10-30 16:25:54 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:26:30 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:26:30 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:26:30 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:26:30 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\brands.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\brands.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\categories.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\categories.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stores.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stores.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\staffs.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\staffs.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\products.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\products.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stocks.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stocks.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | INFO     | no-corre | database.connection_manager | Connection pool closed successfully
2025-10-30 16:26:30 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:27:04 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:27:04 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | INFO     | no-corre | database.connection_manager | Connection pool closed successfully
2025-10-30 16:27:04 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:27:46 | DEBUG    | no-corre | urllib3.connectionpool | Starting new HTTPS connection (1): etl-server.fly.dev:443
2025-10-30 16:27:48 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /orders HTTP/1.1" 200 None
2025-10-30 16:27:48 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /order_items HTTP/1.1" 200 None
2025-10-30 16:27:48 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /customers HTTP/1.1" 200 None
2025-10-30 16:27:48 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:27:48 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:27:48 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:27:48 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:27:48 | INFO     | no-corre | etl.database         | API data export functionality - placeholder implementation
2025-10-30 16:27:48 | INFO     | no-corre | database.connection_manager | Connection pool closed successfully
2025-10-30 16:27:48 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:30:18 | DEBUG    | no-corre | asyncio              | Using proactor: IocpProactor
2025-10-30 16:30:18 | INFO     | no-corre | etl.api              | Fetching all API data concurrently...
2025-10-30 16:30:18 | DEBUG    | no-corre | etl.api              | Created new aiohttp session with connection pooling
2025-10-30 16:30:18 | INFO     | no-corre | etl.api              | Starting operation: batch_api_requests
2025-10-30 16:30:18 | INFO     | no-corre | etl.api              | Starting batch execution of 3 API requests
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Request failed in batch: unsupported operand type(s) for /: 'float' and 'str'
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Request failed in batch: unsupported operand type(s) for /: 'float' and 'str'
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Request failed in batch: unsupported operand type(s) for /: 'float' and 'str'
2025-10-30 16:30:18 | INFO     | no-corre | etl.api              | Batch execution complete: 6 responses
2025-10-30 16:30:18 | INFO     | no-corre | etl.api              | Completed operation: batch_api_requests
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Failed to process unknown: Status 0
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Failed to process orders: Status 200
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Failed to process unknown: Status 0
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Failed to process unknown: Status 0
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Failed to process order_items: Status 200
2025-10-30 16:30:18 | ERROR    | no-corre | etl.api              | Failed to process customers: Status 200
2025-10-30 16:30:18 | INFO     | no-corre | etl.api              | Async fetch complete - Success rate: 100.0%, Avg response time: 0.27s
2025-10-30 16:30:18 | DEBUG    | no-corre | etl.api              | Closed aiohttp session
2025-10-30 16:30:18 | DEBUG    | no-corre | urllib3.connectionpool | Starting new HTTPS connection (1): etl-server.fly.dev:443
2025-10-30 16:30:19 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /orders HTTP/1.1" 200 None
2025-10-30 16:30:19 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /order_items HTTP/1.1" 200 None
2025-10-30 16:30:19 | DEBUG    | no-corre | urllib3.connectionpool | https://etl-server.fly.dev:443 "GET /customers HTTP/1.1" 200 None
2025-10-30 16:31:02 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:31:02 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:31:02 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:31:02 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:31:02 | INFO     | no-corre | database.connection_manager | Connection pool closed successfully
2025-10-30 16:34:33 | WARNING  | no-corre | database.connection_manager | Failed to create MySQL native pool: name 'mysql' is not defined, falling back to manual pool
2025-10-30 16:34:33 | INFO     | no-corre | database.connection_manager | Initialized manual connection pool with 5 connections
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
